,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
389,acari,PE,1584056543,49,76,-15.43,-74.62,70.79,3.8
390,awbari,LY,1584056543,0,53,26.59,12.78,50.83,6.6
391,nicolas bravo,HT,1584056543,1,69,18.23,-73.82,79.25,5.95
392,wattegama,LK,1584056544,8,96,6.8,81.48,69.73,2.75
393,almaznyy,RU,1584056544,11,86,48.04,40.05,41.0,11.18
394,apolda,DE,1584056544,61,77,51.02,11.5,43.0,13.87
395,rio gallegos,GR,1584056544,0,93,38.3,21.78,48.2,5.68
396,tilichiki,RU,1584056545,100,88,60.47,166.1,24.15,19.33
397,ulladulla,AU,1584056545,1,52,-35.35,150.47,75.99,12.75
398,pulaski,US,1584056545,20,73,34.77,-92.3,75.2,12.75
399,anori,BR,1584056546,100,78,-3.77,-61.64,80.4,2.37
400,roma,US,1584056345,90,73,43.21,-75.46,52.0,5.82
401,tibati,CM,1584056546,67,23,6.47,12.63,63.34,5.26
402,klaksvik,FO,1584056546,98,67,62.23,-6.59,32.0,6.93
403,arenillas,ES,1584056547,100,90,41.35,-2.85,46.99,8.01
404,kaina,NG,1584056547,72,18,12.64,8.59,63.86,9.06
405,at-bashi,KG,1584056547,39,81,41.17,75.81,3.49,11.03
406,chernyshevsk,RU,1584056547,54,87,52.52,117.02,9.52,3.42
407,hargeysa,SO,1584056548,16,96,9.56,44.06,59.41,8.97
408,provideniya,RU,1584056548,90,97,64.38,-173.3,32.0,33.55
409,eydhafushi,MV,1584056548,32,73,5.1,73.07,82.67,10.89
410,kieta,PG,1584056548,56,75,-6.22,155.63,85.42,21.99
411,portland,US,1584055796,20,37,45.52,-122.68,57.0,11.41
412,warmbad,NA,1584056549,0,37,-28.45,18.73,63.59,6.82
413,chase,CA,1584056549,75,30,50.82,-119.69,42.8,4.7
414,koygorodok,RU,1584056549,94,96,60.45,51.0,34.29,12.64
415,union,US,1584056468,90,81,40.63,-74.27,48.2,7.25
416,komsomolskiy,UZ,1584056550,0,70,40.43,71.72,42.8,4.7
417,rameswaram,IN,1584056550,49,79,9.28,79.3,80.69,13.67
418,knysna,ZA,1584056341,87,88,-34.04,23.05,66.2,4.7
419,olinda,BR,1584056550,90,70,-8.01,-34.86,84.2,11.41
420,faya,SA,1584056551,6,67,18.39,42.45,59.0,5.75
421,nuuk,GL,1584056551,40,78,64.18,-51.72,15.8,11.41
422,keti bandar,AM,1584056551,86,56,40.87,43.84,44.6,2.24
423,nago,JP,1584056551,75,93,26.59,127.98,64.4,13.87
424,satana,IN,1584056551,0,74,20.58,74.2,53.82,5.12
425,kutum,SD,1584056552,100,19,14.2,24.67,58.41,15.97
426,binga,ZW,1584056552,54,82,-17.62,27.34,75.22,3.4
427,ishim,RU,1584056552,29,86,56.11,69.49,23.95,15.61
428,makakilo city,US,1584056439,90,94,21.35,-158.09,75.2,5.82
429,leh,IN,1584056552,100,87,34.17,77.58,13.23,2.53
430,athabasca,CA,1584056354,100,84,54.72,-113.29,15.73,13.56
431,zhezkazgan,KZ,1584056553,46,76,47.8,67.71,15.01,5.48
432,skagen,DK,1584056553,90,90,57.72,10.58,42.01,10.0
433,roald,NO,1584056553,100,62,62.58,6.13,34.0,24.16
434,bollnas,SE,1584056554,83,79,61.35,16.39,31.96,9.51
435,tagab,AF,1584056554,32,100,34.85,69.65,35.6,2.24
436,norsup,VU,1584056554,59,100,-16.07,167.38,84.2,8.05
437,kirakira,SB,1584056555,97,83,-10.45,161.92,80.87,8.03
438,semnan,IR,1584056555,96,35,35.57,53.4,52.23,0.92
439,forbes,AU,1584056555,0,38,-33.38,148.02,75.99,3.0
440,byron bay,US,1584056555,75,69,44.03,-92.65,41.0,16.11
441,bansi,IN,1584056555,50,66,27.18,82.93,69.17,16.51
442,san jeronimo,ML,1584056556,0,8,13.3,-4.9,79.92,9.53
443,lieksa,FI,1584056556,100,98,63.32,30.02,32.18,2.75
444,santa rosa,PH,1584056556,4,65,17.49,120.43,80.83,2.89
445,concarneau,FR,1584056556,0,81,47.88,-3.92,46.99,8.05
446,sarny,UA,1584056557,47,68,51.34,26.6,42.12,11.03
447,coahuayana,MX,1584056557,40,83,18.73,-103.68,78.8,17.22
448,kupang,ID,1584056528,20,88,-10.17,123.58,80.6,2.24
449,gravelbourg,CA,1584056557,100,50,49.88,-106.55,28.44,14.56
450,katobu,ID,1584056558,59,82,-4.94,122.53,81.99,1.19
451,kholtoson,RU,1584056558,56,84,50.3,103.31,5.58,3.0
452,bozoum,CF,1584056558,77,19,6.32,16.38,66.02,5.7
453,yangambi,CD,1584056558,78,98,0.81,24.43,70.66,3.2
454,sarkand,KZ,1584056558,50,37,45.41,79.92,30.29,2.93
455,moa,CU,1584056559,44,93,20.66,-74.94,65.88,2.64
456,algiers,DZ,1584056455,100,55,36.75,3.04,60.8,4.7
457,ostrovnoy,RU,1584056559,100,95,68.05,39.51,22.91,3.62
458,grindavik,IS,1584056559,20,92,63.84,-22.43,24.8,9.17
459,koslan,RU,1584056560,100,97,63.46,48.9,32.47,9.42
460,mukhen,RU,1584056560,100,89,48.1,136.1,10.69,12.88
461,iquitos,PE,1584056560,75,83,-3.75,-73.25,80.6,11.41
462,clinton,US,1584056560,40,76,42.59,-82.92,50.0,5.82
463,chake chake,CN,1584056560,0,58,23.86,103.05,56.82,3.38
464,peterhead,GB,1584056495,75,75,57.51,-1.8,41.0,20.8
465,matay,EG,1584056561,100,73,28.42,30.78,55.15,38.77
466,betioky,MG,1584056561,0,71,-23.72,44.38,72.88,3.09
467,pangkalanbuun,ID,1584056562,80,85,-2.68,111.62,78.6,0.43
468,ostrogozhsk,RU,1584056562,70,68,50.87,39.08,46.15,20.24
469,nioro,GM,1584056562,0,16,13.35,-15.75,78.46,4.45
470,lincoln,US,1584056363,1,40,40.8,-96.67,51.8,24.16
471,mount gambier,GB,1584056563,40,80,53.66,-1.85,44.01,21.92
472,berlevag,NO,1584056288,90,92,70.86,29.09,21.2,28.86
473,porto san giorgio,PT,1584056358,92,100,41.15,-8.61,55.0,2.24
474,maniitsoq,GL,1584056563,100,79,65.42,-52.9,10.36,5.84
475,parkovyy,RU,1584056563,0,68,45.83,40.15,43.07,6.76
476,russell,US,1584056564,1,54,32.35,-85.2,78.8,8.05
477,saint-denis,FR,1584056564,50,65,48.92,2.33,44.6,13.87
478,srednekolymsk,RU,1584056564,100,95,67.45,153.68,-15.75,13.4
479,esperance,AU,1584056565,75,93,-33.87,121.9,62.6,5.82
480,andenes,NO,1584056565,100,92,69.31,16.12,26.01,41.38
481,oranjemund,NA,1584056565,6,88,-28.55,16.43,62.62,2.42
482,ajdabiya,LY,1584056566,7,75,30.76,20.23,59.77,22.08
483,oparino,RU,1584056566,95,90,59.85,48.28,33.8,11.77
484,tura,IN,1584056566,0,54,25.52,90.22,69.13,1.34
485,heihe,CN,1584056566,0,37,50.24,127.49,1.4,6.71
486,rio pardo de minas,GR,1584056566,0,93,38.3,21.78,48.2,5.68
487,apac,UG,1584056567,59,87,1.98,32.54,68.43,2.19
488,san cristobal,ML,1584056526,0,8,13.3,-4.9,79.92,9.53
489,porbandar,IN,1584056568,0,54,21.64,69.61,73.81,12.8
490,aras,ES,1584056568,75,76,42.56,-2.36,53.6,9.17
491,miri,MY,1584056568,75,100,4.41,114.01,77.0,4.21
492,zhuhai,CN,1584056568,20,88,22.28,113.57,75.0,14.99
493,altmunster,AT,1584056569,75,81,47.9,13.76,52.0,13.87
494,kyshtovka,RU,1584056569,100,91,56.55,76.63,31.33,12.82
495,plyussa,RU,1584056569,100,92,58.43,29.37,34.59,10.45
496,charlestown,AU,1584056496,40,68,-32.95,151.67,75.99,9.17
497,lashio,MM,1584056570,0,54,22.93,97.75,61.27,2.3
498,sao gabriel,IN,1584056570,3,22,20.51,76.21,62.92,8.79
499,lai,TD,1584056570,100,7,9.4,16.3,72.66,6.24
500,mangit,UZ,1584056570,0,70,40.6,70.96,42.8,4.7
501,napasar,IN,1584056571,0,51,27.97,73.55,59.04,8.93
502,bonavista,CA,1584056571,98,87,48.65,-53.11,28.0,5.99
503,kondinskoye,RU,1584056571,94,88,59.65,67.41,32.9,15.77
504,yar-sale,RU,1584056571,100,99,66.83,70.83,33.98,14.67
505,morbach,DE,1584056572,20,64,49.82,7.12,46.4,20.8
506,marsh harbour,GB,1584056572,40,80,53.65,-1.81,44.01,21.92
507,carroll,US,1584056572,90,62,39.55,-77.02,57.99,8.05
508,mount isa,GB,1584056572,40,80,53.66,-1.85,44.01,21.92
509,waipawa,NZ,1584056573,57,63,-41.41,175.52,66.99,6.93
510,kemijarvi,FI,1584056573,100,97,66.71,27.43,26.65,3.4
511,puerto leguizamo,ES,1584056573,75,100,36.59,-6.23,59.0,1.01
512,hinton,CA,1584056573,100,86,53.4,-117.59,13.24,8.08
513,qasigiannguit,GL,1584056574,75,71,68.82,-51.19,6.8,2.24
514,tabat,ID,1584056574,97,93,-2.63,115.23,78.24,2.19
515,nanzhang,CN,1584056574,100,44,31.78,111.84,51.46,9.33
516,ketchikan,US,1584056574,40,60,55.34,-131.65,39.2,20.8
517,saravena,CO,1584056575,82,51,6.95,-71.88,81.66,3.51
518,vila,PT,1584056575,93,81,42.03,-8.16,54.0,13.87
519,ayan,RU,1584056576,37,68,56.45,138.17,-5.93,9.78
520,port lincoln,CD,1584056451,100,73,-7.03,29.76,76.21,5.66
521,mkushi,ZM,1584056576,100,98,-13.62,29.39,64.54,5.68
522,dunedin,NZ,1584056576,0,70,-45.87,170.5,60.01,10.0
523,fairview,US,1584056363,90,87,40.81,-74.0,48.2,10.29
524,luchenza,MW,1584056577,14,96,-16.01,35.31,64.85,2.82
525,campos novos,BR,1584056577,31,94,-21.75,-41.3,75.2,5.82
526,honiara,SB,1584056577,90,88,-9.43,159.95,80.6,3.36
527,naze,JP,1584056578,75,87,28.37,129.48,60.8,6.93
528,abbeville,FR,1584056578,75,70,50.1,1.83,46.4,16.11
529,selkirk,CA,1584056578,90,79,50.14,-96.88,27.0,24.16
530,darnah,LY,1584056578,12,71,32.77,22.64,60.93,29.24
531,ambilobe,MG,1584056579,100,94,-13.2,49.05,76.08,2.44
532,lander,US,1584056356,90,64,42.83,-108.73,36.0,3.36
533,abu zabad,IN,1584056579,0,73,24.6,72.7,49.46,2.71
534,pokhara,NP,1584056580,33,36,28.23,83.98,61.21,3.56
535,bandarbeyla,SO,1584056580,39,76,9.49,50.81,78.26,16.11
536,fare,PF,1584056580,93,73,-16.7,-151.02,83.14,12.21
537,monopoli,IT,1584056580,16,66,40.96,17.29,59.0,5.82
538,cabedelo,BR,1584056580,75,88,-6.98,-34.83,78.8,5.82
539,yuancheng,CN,1584056581,100,46,36.65,107.79,33.89,11.1
540,brewster,US,1584056311,90,75,41.4,-73.62,48.0,6.93
541,heinola,FI,1584056582,90,100,61.21,26.04,34.0,4.7
542,carballo,ES,1584056582,20,70,43.21,-8.69,52.0,4.7
543,ichinohe,JP,1584056582,75,42,40.21,141.3,46.4,11.41
544,kavaratti,IN,1584056582,20,78,10.57,72.64,81.61,13.98
545,antalaha,MG,1584056582,100,81,-14.9,50.28,81.81,21.7
